Session	LUCIR	EEIL	SPPR	CEC	FACT	arithmetic	geometric	harmonic	majority	{Shallow NN}	{Agg. $f$-avg}	{Deep NN}	{Weighted average NN}
1	55.50	56.26	46.77	36.00	69.75	61.27	61.27	61.27	61.27	61.27	61.27	61.27	61.27
2	60.52	50.56	51.73	33.76	66.10	53.53	53.59	52.91	50.53	53.16	53.56	52.14	55.84
3	23.31	3.31	46.71	32.15	61.46	46.84	47.09	45.82	45.20	44.36	47.54	48.40	51.84
4	5.97	0.79	42.99	30.32	57.39	41.43	41.96	40.24	41.42	44.29	43.98	45.70	48.03
5	6.17	0.24	39.53	28.84	53.76	36.79	37.20	35.58	38.82	42.61	43.04	39.36	43.81
6	5.50	0.43	34.71	28.68	51.70	33.44	33.54	32.43	36.22	39.62	39.01	37.17	40.94
7	6.47	0.37	32.26	27.02	48.89	30.36	30.23	29.32	33.43	36.74	38.16	36.11	37.34
8	7.20	0.82	29.76	26.56	47.46	27.86	27.69	26.84	32.18	33.64	37.28	33.27	38.06
9	6.10	0.58	26.36	25.43	44.97	25.55	25.35	24.46	31.29	33.30	35.19	27.09	33.84
10	5.45	0.25	24.56	25.18	43.42	23.60	23.46	22.59	29.91	18.04	32.11	2.17	32.62
11	5.16	0.46	23.39	24.09	41.78	21.86	21.64	20.90	28.88	28.76	31.73	2.41	31.94
