Session	{No ft}	LUCIR	EEIL	SPPR	CEC	FACT	arithmetic	geometric	harmonic	majority	{Shallow NN}	Ours	{Deep NN}	{Weighted average NN}
0.00	67.19	72.13	68.40	68.66	75.69	76.75	75.70	75.70	75.70	75.70	75.70	75.70	75.70	75.70
1.00	58.63	72.90	68.44	63.18	71.56	73.53	62.01	52.08	52.17	58.64	49.09	63.08	55.29	36.73
2.00	51.89	65.74	51.27	58.70	67.94	70.34	63.93	51.77	50.64	61.42	57.48	61.53	57.19	40.86
3.00	46.81	60.38	43.59	54.44	63.15	65.39	61.47	50.58	47.17	60.39	57.72	61.13	60.17	56.16
4.00	41.96	57.06	39.45	51.67	62.22	64.79	58.19	49.82	45.26	57.92	55.00	60.01	59.84	57.00
5.00	37.98	49.51	36.22	47.92	57.95	61.54	55.74	48.56	43.57	54.05	53.15	57.99	57.98	52.25
6.00	34.63	44.17	34.12	46.22	57.26	61.07	53.73	48.37	42.24	51.42	47.52	56.13	57.28	49.97
7.00	31.43	41.29	31.27	45.59	55.61	59.43	52.63	47.44	41.10	49.03	46.94	53.79	55.08	43.64
8.00	29.05	40.01	29.19	42.34	54.49	57.49	50.40	46.79	39.33	47.56	42.41	51.95	53.85	49.60
9.00	26.73	37.57	27.10	40.35	53.30	57.30	48.59	45.62	38.59	45.38	41.83	51.45	53.62	39.21
10.00	24.65	37.27	26.47	38.74	52.12	56.29	47.22	44.82	37.27	44.29	38.43	51.58	50.57	46.52
