Session	LUCIR	EEIL	SPPR	CEC	FACT	arithmetic	geometric	harmonic	majority	{Shallow NN}	{Agg. $f$-avg}	{Deep NN}	{Weighted average NN}
1	65.96	64.36	77.07	74.63	74.95	80.28	80.28	80.28	80.28	80.28	80.28	80.28	80.28
2	60.98	58.44	69.88	68.85	69.00	69.77	69.78	69.00	64.11	71.63	71.74	70.41	72.07
3	43.29	16.06	63.08	63.81	63.99	61.52	61.51	60.27	54.13	61.81	65.22	63.37	64.85
4	29.17	12.69	57.37	59.76	59.71	54.78	54.77	53.23	49.95	57.31	58.80	54.46	58.80
5	25.24	9.88	52.45	56.48	56.04	49.08	49.10	47.38	45.50	51.18	54.55	48.47	54.53
6	22.28	10.09	48.29	53.71	53.05	44.09	44.13	42.39	42.73	46.08	51.82	0.01	50.26
7	17.24	8.93	41.11	51.23	50.40	39.79	39.82	38.13	39.66	40.75	47.75	3.13	46.80
8	15.63	8.19	37.92	48.99	47.86	36.15	36.17	34.52	37.92	40.71	44.44	0.03	42.69
9	14.51	7.49	35.25	46.96	45.73	33.04	33.03	31.48	35.84	28.51	41.66	0.01	39.90
10	13.55	7.52	32.99	44.92	43.74	30.42	30.39	28.89	34.21	5.16	39.69	0.01	37.52
11	12.29	7.21	30.81	43.10	41.80	27.98	27.94	26.50	32.36	13.46	37.57	0.00	35.43
